link,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cuisine,cost,liked
https://www.zomato.com/pune/hotel-jeevan-2-chinchwad,"Hotel Jeevan
                                    ",Quick Bites,Chinchwad,3.5,68,3.8,82,"Mughlai,Maharashtrian,Chinese,North Indian,",450,
https://www.zomato.com/pune/hotel-halal-viman-nagar,"Hotel Halal
                                    ",Quick Bites,Viman Nagar,3.5,40,3.2,54,"Biryani,Chinese,North Indian,",700,
https://www.zomato.com/pune/zahra-cakes-wadgaon-sheri,"Zahra Cakes
                                    ",NA,Wadgaon Sheri,4.1,159,,,"Desserts,Bakery,",550,Chocolate Truffle
https://www.zomato.com/pune/budhani-snacks-koregaon-park,"Budhani Snacks
                                    ",NA,Koregaon Park,4.7,204,,,"Street Food,",200,
https://www.zomato.com/pune/punjabi-flavours-kharadi,"Punjabi Flavours
                                    ",Quick Bites,Kharadi,3.8,180,3.8,1158,"Chinese,Mughlai,North Indian,",500,"Thali, Buttermilk, Chole, Lassi, Paratha, Gulab Jamun, Butter Chicken"
https://www.zomato.com/pune/taaareef-aundh,"Taaareef
                                    ",Casual Dining,Aundh,4.4,2005,3.9,4044,"Lucknowi,Mughlai,North Indian,Biryani,","1,200","Chicken Biryani, Tandoori Chicken, Subz Dum Biryani, Paya Soup, Malai Phirni, Butter Chicken, Galauti Kebab"
https://www.zomato.com/pune/cafe-maroo-1-aundh,"Cafe Maroo
                                    ",Casual Dining,Aundh,4.2,461,,,"Korean,","1,100","Kimchi, Bibimbap, Ramen, Bulgogi, Clear Soup, Tea, Ssukcha Latte"
https://www.zomato.com/pune/swad-kitchen-nigdi,"Swad Kitchen
                                    ",Casual Dining,Nigdi,4,443,4.2,7957,"Biryani,Malwani,Chinese,North Indian,",700,"Biryani, Tandoori Chicken, Butter Chicken, Fried Rice, Masala Papad, Dal Kichadi, Paneer Tikka Masala"
https://www.zomato.com/pune/bungalow-424-kothrud,"Bungalow 424
                                    ","Casual Dining,Bar",Kothrud,4.1,171,,,"Continental,Fast Food,North Indian,","1,200",
https://www.zomato.com/pune/daawat-e-punjab-baner,"Daawat-E-Punjab
                                    ",NA,Baner,3.9,48,,,"Chinese,North Indian,",300,
https://www.zomato.com/pune/roll-attack-1-magarpatta,"Roll Attack
                                    ",NA,Magarpatta,,,,,"Rolls,",250,
https://www.zomato.com/pune/hotel-kaveri-bibvewadi,"Hotel Kaveri
                                    ",Casual Dining,Bibvewadi,3.9,206,4,3653,"Maharashtrian,North Indian,",500,"Mutton Fry Thali, Gavran Chicken Thali, Mutton Sukha"
https://www.zomato.com/pune/malhar-family-restaurant-bar-pimple-gurav,"Malhar Family Restaurant Bar
                                    ",Casual Dining,Pimple Gurav,3.8,36,,,"Maharashtrian,Chinese,North Indian,",700,
https://www.zomato.com/pune/fabcafe-by-fabindia-aundh,"Fabcafe By Fabindia
                                    ",Cafe,Aundh,4,122,3.9,93,"North Indian,Beverages,Healthy Food,Cafe,",900,"Coffee, Paratha, Chicken Tikka Salad, Samosa, Biryani"
https://www.zomato.com/pune/oblique-kitchen-kothrud,"Oblique Kitchen
                                    ",Casual Dining,Kothrud,4.1,350,3.9,190,"Desserts,Fast Food,Modern Indian,North Indian,","1,400","Mocktails, Pasta, Filtered Coffee, Salad, Mojito, Cocktails, Amritsari Chhole"
https://www.zomato.com/pune/dilli-di-hatti-hinjawadi,"Dilli Di Hatti
                                    ",NA,Hinjawadi,3.1,1468,,,"Fast Food,Mughlai,Biryani,North Indian,",600,
https://www.zomato.com/pune/sprinkles-and-sparkles-ravet,"Sprinkles And Sparkles
                                    ",NA,Ravet,3.7,167,,,"Bakery,",300,
https://www.zomato.com/pune/nh-37-dhaba-pune-university,"NH 37 Dhaba
                                    ",Casual Dining,Pune University,4.2,2204,4.2,2292,"Salad,Bengali,North Indian,Chinese,","1,200","Tandoori Chicken, Brownie, Mocktails, Fish, Butter Chicken, Naan, Tikka"
https://www.zomato.com/pune/strikers-chinese-viman-nagar,"Striker's Chinese
                                    ",Quick Bites,Viman Nagar,3.8,1634,,,"Chinese,",300,"Noodle, Hakka Noodles"
https://www.zomato.com/pune/wrollz-nibm-road,"Wrollz
                                    ",NA,NIBM Road,3.9,49,,,"Rolls,",200,
https://www.zomato.com/pune/baba-da-dhaba-1-viman-nagar,"Baba Da Dhaba
                                    ",NA,Viman Nagar,,,,,"Beverages,North Indian,",499,
https://www.zomato.com/pune/annapurna-pimpri,"Annapurna
                                    ",Quick Bites,Pimpri,3.7,63,3.8,574,"Maharashtrian,Chinese,North Indian,",500,
https://www.zomato.com/pune/midnight-kakery-kothrud,"Midnight Kakery
                                    ",Bakery,Kothrud,4.2,178,4.8,127,"Fast Food,Desserts,Bakery,",300,"Macaroon, Tiramisu, Cupcake, Coffee, Red Velvet Cake, Chocolate Cake, Mango Cake"
https://www.zomato.com/pune/anand-veg-erandwane,"Anand Veg
                                    ",Casual Dining,Erandwane,4,505,4.2,3137,"South Indian,Chinese,Fast Food,North Indian,",600,"Pav Bhaji, Coffee, Paratha, Masala Pav, Pasta, Masala Dosa, Paneer Tikka"
https://www.zomato.com/pune/al-zaika-biryani-house-baner,"Al Zaika Biryani House
                                    ",NA,Baner,3.8,105,,,"Mughlai,North Indian,",550,Tandoori Chicken
https://www.zomato.com/pune/madéline-kothrud,"Madéline
                                    ",Cafe,Kothrud,3.8,316,4,108,"Sandwich,Fast Food,Cafe,",650,"Cappuccino, Sandwich, Coffee, Salad, Cupcake, Cheesecake, Macaroon"
https://www.zomato.com/pune/gokul-pure-veg-kondhwa,"Gokul Pure Veg
                                    ",Casual Dining,Kondhwa,4,528,4,8092,"Maharashtrian,Street Food,Chinese,South Indian,North Indian,",600,"Thali, Pav Bhaji, Manchow Soup, Matka Dum Biryani, Masala Papad, Paneer Chingari, Brownie"
https://www.zomato.com/pune/mithas-kothrud,"Mithas
                                    ",Sweet Shop,Kothrud,4.4,1023,,,"Street Food,Mithai,",400,
https://www.zomato.com/pune/shrinidhis-hyderabadi-spice-aundh,"Shrinidhi's Hyderabadi Spice
                                    ",Casual Dining,Aundh,3.5,167,3.8,5173,"Mughlai,North Indian,Biryani,",800,"Egg Biryani, Dum Biryani, Raita"
https://www.zomato.com/pune/myfroyoland-koregaon-park,"Myfroyoland
                                    ",Dessert Parlor,Koregaon Park,4.1,172,,,"Frozen Yogurt,Desserts,",400,"Brownie, Waffles"
https://www.zomato.com/pune/rangla-punjab-pashan,"Rangla Punjab
                                    ",Casual Dining,Pashan,4.1,1717,,,"Beverages,Lucknowi,North Indian,",800,"Butter Chicken, Lassi, Dal Makhani, Tandoori Chicken, Dal Tadka, Jalebi, Chicken Amritsari"
https://www.zomato.com/pune/mojo-pizza-2x-toppings-nibm-road,"MOJO Pizza - 2X Toppings
                                    ",NA,NIBM Road,4.2,1148,,,"Desserts,Italian,Pizza,",500,"Paneer Tikka Pizza, Double Cheese Margherita, Cheesy Garlic Bread"
https://www.zomato.com/pune/blue-water-ravet,"Blue Water
                                    ","Bar,Casual Dining",Ravet,4.5,3351,4.3,1690,"Chinese,North Indian,","1,800","Mocktails, Cocktails, Veg Platter, Panipuri, Pasta, Biryani, Hot Chocolate Brownie"
https://www.zomato.com/pune/rks-food-@99-wadgaon-sheri,"RK'S Food @99
                                    ",NA,Wadgaon Sheri,3.9,91,,,"Beverages,North Indian,Gujarati,Sandwich,",350,
https://www.zomato.com/pune/the-mint-leaf-resto-lounge-bavdhan,"The Mint Leaf Resto Lounge
                                    ","Lounge,Casual Dining",Bavdhan,3.9,146,3.5,92,"Bar Food,Chinese,North Indian,","1,500",Garlic Naan
https://www.zomato.com/pune/idlicious-baner,"Idlicious
                                    ",Quick Bites,Baner,4.5,1025,4.3,357,"South Indian,",250,"Idli, Filtered Coffee, Vada, Mysore Masala Dosa, Pongal, Rasam Rice, Pineapple Sheera"
https://www.zomato.com/pune/tahari-house-nibm-road,"Tahari House
                                    ",Quick Bites,NIBM Road,3.6,21,3.6,684,"Biryani,Awadhi,",350,
